Disease,Medicine
Fungal infection,"Antifungal Cream (Clotrimazole), Fluconazole"
Allergy,"Antihistamines (Cetirizine, Loratadine)"
GERD (Acid Reflux),"Omeprazole, Pantoprazole, Antacids"
Chronic cholestasis,Ursodeoxycholic acid (Ursodiol)
Drug Reaction,"Antihistamines, Corticosteroids"
Peptic Ulcer,"Proton Pump Inhibitors (Omeprazole), Amoxicillin"
AIDS,Antiretroviral Therapy (ART)
Type 2 Diabetes,"Metformin, Insulin, Glipizide"
Gastroenteritis,"Oral Rehydration Salts (ORS), Loperamide"
Asthma,"Albuterol Inhaler, Fluticasone"
Hypertension,"Amlodipine, Lisinopril, Losartan"
Migraine,"Sumatriptan, Ibuprofen, Rizatriptan"
Cervical spondylosis,"NSAIDs (Ibuprofen), Muscle Relaxants"
Paralysis (brain hemorrhage),"Blood thinners, Physical Therapy"
Jaundice,"IV Fluids, Rest, Phototherapy (if severe)"
Malaria,"Artemisinin-based combination therapy (ACT), Chloroquine"
Chicken pox,"Acyclovir, Calamine Lotion, Paracetamol"
Dengue,"Paracetamol, IV Fluids (Avoid Aspirin/Ibuprofen)"
Typhoid,"Antibiotics (Ciprofloxacin, Azithromycin)"
hepatitis A,"Rest, Hydration, No specific medication"
Hepatitis B,"Antiviral medications (Entecavir, Tenofovir)"
Hepatitis C,Direct-acting antivirals (DAAs) like Sofosbuvir
Hepatitis D,Pegylated interferon alpha
Hepatitis E,"Rest, Hydration, Ribavirin (if chronic)"
Alcoholic hepatitis,"Corticosteroids, Pentoxifylline, Abstinence"
Tuberculosis (Recovery Phase),"Isoniazid, Rifampin, Pyrazinamide"
Common Cold,"Decongestants, Antihistamines, Paracetamol"
Bronchial Pneumonia (Recovery),"Antibiotics (Amoxicillin, Azithromycin)"
Dimorphic hemmorhoids(piles),"Topical creams (Preparation H), Hydrocortisone"
Coronary Artery Disease,"Aspirin, Statins (Atorvastatin), Beta-blockers"
Varicose Veins,"Compression stockings, Diosmin (Daflon)"
Hypothyroidism,Levothyroxine (Synthroid)
Hyperthyroidism,"Methimazole, Propylthiouracil (PTU), Beta-blockers"
Hypoglycemia,"Glucose tablets, Dextrose injections"
Osteoarthritis,"Acetaminophen, NSAIDs, Duloxetine"
Rheumatoid Arthritis,"DMARDs (Methotrexate), Biologics, NSAIDs"
(vertigo) Paroymsal  Positional Vertigo,"Meclizine, Epley maneuver"
Acne,"Benzoyl Peroxide, Salicylic Acid, Isotretinoin"
Urinary tract infection,"Antibiotics (Nitrofurantoin, Ciprofloxacin)"
Psoriasis,"Topical Corticosteroids, Methotrexate, Biologics"
Impetigo,"Topical antibiotics (Mupirocin), Oral antibiotics"
